timestep,xmain,pmain,xhigh,phigh,xlow,plow
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,-871435.8144547972,46708.15980503362,172004.6640399393,-12408.65606198861,13282.657535060658,1442.7868818657587
0.016,-867497.6053096253,95806.91844140935,170524.7326086221,-25843.339758781534,13313.65298573132,1000.8205218834626
0.024,-860849.5696394428,143577.64949078983,168082.36406430416,-39034.305336153484,13296.864079702977,597.102082243578
0.032,-851675.1216635507,191162.14929085964,164808.13905863097,-51378.385713585514,13124.604559974188,153.61925225091755
0.04,-840697.5370066626,237997.33549427442,169025.0834187888,-65954.48017327035,15193.734066790224,-410.4379235734475
0.048,-826391.1901802889,284110.2527781189,164259.2414175994,-78261.59591834695,15407.943120780134,-844.0151378869891
0.056,-809485.1370221897,329136.1969753138,157888.37552929652,-90444.3475924179,15344.768599135781,-1217.4529699585264
0.064,-789696.2533492696,373505.1677261471,150407.75025295228,-101980.58794422225,15312.737832383526,-1636.7510568001226
0.072,-767926.1515736302,416620.22512763867,141795.1560244069,-112813.71126507343,15089.839266190924,-2020.9789861026845
0.08,-743833.6056074017,458454.89670083177,133590.8870102161,-123071.61790669021,14799.682243707826,-2414.0423141009387
0.088,-717260.0201221638,498819.05522223056,123340.70777000165,-132739.96947478855,14038.556129733077,-2823.1567448785204
0.096,-688739.226179568,537875.906629978,112732.77645082727,-141606.81111639514,14737.74353917081,-3195.3442790092563
0.104,-658065.9593155213,575157.320350786,101663.30450977541,-149665.21402369425,14514.660746316398,-3520.3033502317044
0.112,-625252.1384824063,610648.4400585211,90224.16925648999,-156889.63952521738,13892.56274995899,-3697.7897647272844
0.12,-590571.6446719808,644349.7966115746,77914.84074675845,-163232.43129146565,13907.223290903808,-4081.0227472833317
0.128,-554059.0178844341,675928.3705675321,65682.65560128493,-168603.39829354812,13776.604202928254,-4693.962288625451
0.136,-515865.7081014784,705514.0313613515,52495.79791386693,-172754.1477318061,13968.656730214267,-5147.346158523614
0.144,-476090.1832375456,732824.5203504368,38913.65349568317,-176040.0179892669,13942.406777274024,-5242.010040804561
0.152,-434877.4964863141,757921.6377063355,25698.669169119214,-178317.45429768573,14065.403403182858,-5779.092838102984
0.16,-392311.6375943597,781136.4166341781,12074.67724890156,-179794.60182938908,13913.649401097171,-6797.992256413237
0.168,-349068.96221721487,803633.084698731,-10044.785308931629,-181131.96272983888,14293.582497891171,-13634.445018358996
0.176,-304114.71782394283,821731.5672937438,-23605.61862325997,-180202.68679707384,13553.929894783412,-13814.567353628583
0.184,-258207.08540788133,837367.5415095724,-36754.117186246614,-178137.97900853425,13141.461052769588,-14271.372351636172
0.192,-211552.29343127285,850476.3461236507,-50462.30961874433,-174828.95892478936,12555.87376742974,-14629.090886164584
0.2,-164221.21950091992,861120.8251441922,-63510.875265493436,-170654.9788726046,12378.229100118857,-14937.13132038618
0.208,-116393.14995033099,868866.5457929347,-76156.73231873376,-165547.37425869762,12111.868431732613,-15062.771513972217
0.216,-68190.85075360912,874079.0880131143,-88526.17925562747,-159334.02584541411,11678.98206313837,-16009.709735688177
0.224,-19795.07179082605,876422.9930338042,-100182.02156428159,-152403.6263917083,11263.039720017223,-16294.20163294553
0.232,28684.3768233697,876167.752518979,-111328.8873778782,-144711.65066554368,11094.78794949207,-16740.441576727775
0.24,77020.59531768116,873317.3151355854,-122070.16131612856,-136152.03797557563,10703.568313862621,-16980.643890411695
0.248,125136.59827931301,867649.4094329858,-132120.0767904589,-126645.93734565079,10060.886019810996,-17057.118866585195
0.256,172848.88340596893,859376.8948711902,-141184.01741517894,-116059.51507264959,10000.389202172504,-17219.29041095955
0.264,220040.88757456886,848308.3594059669,-149790.49539860725,-104827.83212722022,9560.989677637588,-17418.699810115493
0.272,266716.266139633,834860.1532416391,-156802.27932994798,-93203.01459574932,9119.492535375264,-17956.402642500187
