timestep,xmain,xhigh,xlow
0.0,0.0,0.0,0.0
0.008,-526734.4055933179,705620.0713508648,2.0716959011195637e6
0.016,-524418.149117475,699695.5104489576,2.0697663606198193e6
0.024,-520557.5824781306,689770.9894350639,2.0664806335605779e6
0.032,-515008.7131435317,676050.5753460829,2.0624351499165513e6
0.04,-507936.3009634459,658167.637478145,2.0569847162731357e6
0.048,-499458.1991029833,637170.5660312753,2.0500798540979663e6
0.056,-489378.08877390943,612256.1263385769,2.0423597021892997e6
0.064,-478136.9982350049,583412.623543424,2.0315916712916791e6
0.072,-465081.4544671801,551916.9601034941,2.021642021447439e6
0.08,-450437.20818936033,516936.89942518825,2.0096115011357989e6
0.088,-434769.13435523806,479060.76926965616,1.9964216176331656e6
0.096,-417495.24105287384,438425.12951692264,1.981574302866974e6
0.104,-398850.0841835743,395467.9689591824,1.9657975627310153e6
0.112,-379167.20778173895,349856.71981836954,1.9484217038431447e6
0.12,-358233.8881840583,302851.08188895433,1.9297318399803739e6
0.128,-336267.2215241971,253559.832047322,1.909800028730616e6
0.136,-313267.1698800809,202815.88941676493,1.8887088116690107e6
0.144,-289299.0596214882,150909.28930036593,1.866204253326656e6
0.152,-264413.847409044,98480.17502293175,1.84309390901095e6
0.16,-238745.11243349823,45460.28428270222,1.8184205389820382e6
0.168,-212345.5057150181,-7504.603579045807,1.7930395780739093e6
0.176,-185282.66596940672,-60451.69252596057,1.7667723405942707e6
0.184,-157660.399553415,-113018.21410407015,1.7388471392176698e6
0.192,-129568.48037594403,-165098.63401672323,1.709978450344699e6
0.2,-101066.15684687991,-216156.2851527425,1.6799505960770627e6
0.208,-72271.25601265622,-266665.88075886667,1.649171936442045e6
0.216,-43268.63885333074,-315265.13928404276,1.6168509601304228e6
0.224,-14148.677979533893,-362293.3338493308,1.5842073784171334e6
0.232,15025.339582741599,-406620.0265833738,1.5500570678033682e6
0.24,44111.15013074699,-448416.3950375529,1.514693458468404e6
0.248,73086.78595070633,-488255.81905492017,1.4786936905545199e6
0.256,101830.02154574875,-525427.6302056295,1.4416304838661563e6
0.264,130157.65601642513,-559947.1740135346,1.403785751821105e6
0.272,158344.36005467025,-590917.1362414887,1.3648548112971727e6
0.28,185845.40710517584,-618358.5856597226,1.3253003747133897e6
0.288,212610.94835561438,-642421.340458265,1.2846347712050779e6
0.296,238845.39945430448,-663181.085692617,1.2431339158797683e6
0.304,264336.2267671414,-679922.1104722214,1.2007334731764628e6
0.312,288996.1562154125,-692940.3052670736,1.1580531243424604e6
0.32,312835.7552629391,-701869.0747972213,1.1143743840114588e6
0.328,335544.7092518216,-706881.8801281854,1.0698394114349529e6
0.336,357296.6077133144,-707771.9302351816,1.0248679867190273e6
0.344,377899.4147436322,-704697.7700074172,979011.8075331786
0.352,397095.5388866134,-697442.6865983945,932648.4133595742
0.36,414990.41491907416,-686361.4857870268,885645.8760640366
0.368,432238.6818487457,-671516.374514362,837853.0873648974
0.376,448040.2708674831,-652831.7776430374,789678.0970234355
0.384,462291.4971655204,-630483.4738117938,740923.6122446138
0.392,475464.2572937751,-604708.6551933187,691462.4712993518
0.4,486727.2778427348,-575315.2045004935,641934.8662219871
0.408,496684.77438685455,-542736.7663892383,592139.6775659721
0.416,505071.92256373994,-506987.37244907883,541555.2860177233
0.424,512317.98179148213,-468412.5181661542,491016.953333486
0.432,517551.4677324916,-427031.1213788963,440247.4423316677
0.44,521460.43226168875,-383290.09125338774,389185.2794472112
0.448,523729.07693711325,-337263.0677346212,337829.6973273598
0.456,523599.9391106313,-289718.7093948839,287614.5106490696
0.464,522643.11536506185,-240163.9170793026,235779.13956535043
0.472,520100.94417120446,-189203.81326723692,183828.68309143418
0.48,516144.23705028463,-137230.91211445685,132174.79066562623
0.488,510269.2407786392,-84282.37044909457,80274.86511862207
0.496,503037.3062723353,-30888.928614799024,28311.598271009818
0.504,494628.96987243055,22955.47599791465,-23805.227957337866
0.512,484639.3913659794,76678.62118074532,-75690.81954184386
0.52,473563.275338481,130075.49885222195,-127837.26894465125
0.528,460724.7990643234,182807.59102892503,-179977.66748832428
0.536,446626.5568529257,234640.8494443379,-231450.11254767026
0.544,431592.0671939717,285108.81176677794,-283336.74972887913
0.552,414603.4030312975,334086.8965137756,-334950.6468845555
0.56,396914.2893755867,381339.8356973216,-385819.853990183
0.568,377920.3880240451,426405.4747147618,-436430.30029153737
0.576,357546.7799069844,469144.06603643345,-486982.93001579517
0.584,336269.5281977199,509218.76174058614,-537023.583767986
0.592,314266.8961577995,546394.7551761921,-586948.1122180406
0.6,291179.9500757113,580438.0057760369,-636238.8447450462
0.608,267580.28861080325,611205.415324087,-685302.5716823437
0.616,242488.6453527496,638519.180406075,-733667.1053396737
0.624,217005.9814475504,662010.3892805512,-781841.4665231162
0.632,190807.40256327056,681781.2532787744,-829518.1630004577
0.64,163664.61058861305,697581.0715061998,-876585.3989816713
0.648,136108.8882384434,709320.5188307088,-923140.1936760676
0.656,108057.90796869411,716917.7760765128,-969170.8853678749
0.664,79520.04256120177,720156.4345764297,-1.0148203916003928e6
0.672,50653.769514193686,719317.6884746624,-1.0600250281077945e6
0.68,21417.76678043917,714328.3230560707,-1.1041644377882564e6
0.688,-7879.999284562497,704887.6606882232,-1.147641441114795e6
0.696,-37255.20361068956,691474.5623843238,-1.1906801117769966e6
0.704,-66672.25662177226,673895.0164606612,-1.232908607663275e6
0.712,-95952.69060009414,652331.0230472896,-1.2744813594029555e6
0.72,-125285.04223879056,626904.5143730453,-1.315164446637012e6
0.728,-154260.757897756,597665.062840616,-1.355133113409418e6
0.736,-183003.00683159375,564913.1802996647,-1.3944511390791577e6
0.744,-211221.40047079473,528731.6053682123,-1.432708904191711e6
0.752,-239060.65885689887,489217.01260186953,-1.470256653353925e6
0.76,-266252.54224327044,446917.02983873436,-1.5070061426101893e6
0.768,-292731.19071637344,401897.3996705273,-1.5426907952919768e6
0.776,-318448.8784780779,354369.7328671796,-1.5774737872766866e6
0.784,-343218.644191657,304745.4181272483,-1.6114419438958457e6
0.792,-367024.26882236206,253311.76751069684,-1.6443407848310138e6
0.8,-389798.7384199736,200346.10397977487,-1.6762703825095023e6
0.808,-411448.4081364022,146124.88699243916,-1.7072498475849377e6
0.816,-431866.95382654463,91091.2238829205,-1.737077138418899e6
0.824,-450976.96401708154,35327.235579223496,-1.7657425531012272e6
0.832,-468711.38972597395,-20368.95559453134,-1.793434384613853e6
0.84,-484991.9276648628,-76009.22683281325,-1.81991577633319e6
0.848,-499751.69867222774,-130974.40076520323,-1.845366453686692e6
0.856,-512924.4750285375,-185388.70924678462,-1.8694192668715944e6
0.864,-524473.296845439,-238654.30445882745,-1.8923221553446185e6
0.872,-534306.9291914514,-290268.454720423,-1.913965576234739e6
0.88,-542463.9352398698,-340057.1409609004,-1.9343218115243593e6
0.888,-548811.0627268697,-387923.569401829,-1.9534788178768377e6
0.896,-553389.9106605602,-433433.7661905149,-1.9713066354299453e6
0.904,-556152.1948576302,-476109.03025355126,-1.9878324486014599e6
0.912,-557074.2260300493,-515963.17960064247,-2.0031153163954983e6
0.92,-556162.352982818,-552671.7914765666,-2.0170870919239295e6
0.928,-553385.8970432515,-585945.4754597729,-2.0297225357244364e6
0.936,-548747.539573712,-615919.6505030165,-2.0410117582215562e6
0.944,-542281.5560740012,-642104.7464022307,-2.0508828307913325e6
0.952,-533986.3530864684,-664435.5317387326,-2.0593951008344532e6
0.96,-523925.3241723188,-682828.434612179,-2.0665074237602819e6
0.968,-512151.0773195504,-697011.7878988266,-2.0722812983327198e6
0.976,-498598.0048512289,-706948.0465013639,-2.076680452235004e6
0.984,-483445.1225415924,-712876.3655990304,-2.0797005822799962e6
0.992,-466684.3824379503,-714528.0449943023,-2.081424153367236e6
1.0,-448405.7073079485,-711960.9994160333,-2.0816359196205984e6
1.008,-428546.53902185836,-705181.0593086409,-2.0805189224403873e6
1.016,-407333.87340998696,-694237.9810066883,-2.0780637789423075e6
1.024,-384778.21504319593,-679203.5844146905,-2.0742503231886213e6
1.032,-361030.53470420826,-660296.2260135565,-2.069161041419399e6
1.04,-336100.22708608327,-637604.3040539155,-2.0626996968977083e6
1.048,-310134.8614622062,-611159.1818970881,-2.054889131170197e6
1.056,-283161.33922310354,-581216.8111268444,-2.0457856761038068e6
1.064,-255373.72562542424,-547968.2327121999,-2.0353954490082106e6
1.072,-226768.98655244024,-511639.4913560432,-2.0236909392463234e6
1.08,-197474.57974833387,-472410.9933356407,-2.0107217146077193e6
1.088,-167589.09163302672,-430436.88345474954,-1.996496180382406e6
1.096,-137244.46342855305,-386084.43608855625,-1.98104265978368e6
1.104,-106525.40946137393,-339659.6504288663,-1.9643460899859145e6
1.112,-75525.44845943138,-291425.86508884176,-1.94646727547973e6
1.12,-44400.44697766323,-241641.55087279205,-1.9273866848557715e6
1.128,-13151.222304900357,-190599.29219531792,-1.9071151032727656e6
1.136,18051.881928762057,-138589.5197077721,-1.885706946669148e6
1.144,49083.6010989787,-85852.15515594342,-1.8631134630238835e6
1.152,79865.1231813409,-32820.416012746384,-1.8394003142530075e6
1.16,110315.85989450573,20218.72746490708,-1.8145806140954646e6
1.168,140276.5856663777,73009.96626181522,-1.7886794951299955e6
1.176,169720.01234957794,125204.07816405754,-1.7616310063945816e6
1.184,198589.8034400304,176534.81628197478,-1.7335611007461522e6
1.192,226680.7795340293,226729.70186670945,-1.7044466811462801e6
1.2,253956.0693946726,275464.85350282677,-1.6742803363507872e6
1.208,280352.42017861543,322521.68832540204,-1.6431562174602188e6
1.216,305773.42562680127,367566.01441933203,-1.6110223784867406e6
1.224,330166.0164696537,410387.2265840125,-1.5779165132407523e6
1.232,353447.70264421334,450717.5326420494,-1.543839361394403e6
1.24,375556.6874276965,488338.16003441997,-1.508843755163694e6
1.248,396415.1597264882,523084.3076039097,-1.4729756474321478e6
1.256,415988.4086420543,554721.58736039,-1.4361995749168731e6
1.264,434176.77025951253,583132.6562030858,-1.3985590732298754e6
1.272,451018.8011981381,608093.0341282676,-1.3600542982982832e6
1.28,466379.4815465375,629504.7785694909,-1.3207354385775705e6
1.288,480255.4637989291,647254.5612754422,-1.2805598392490938e6
1.296,492626.2088196527,661243.285654718,-1.2396075347686207e6
1.304,503462.6370873896,671453.1480799842,-1.1979153873440707e6
1.312,512723.21993143816,677763.6098804903,-1.155480339313119e6
1.32,520360.49353979283,680208.847215013,-1.112340566406348e6
1.328,526414.3630207819,678769.8571123644,-1.0685083225359991e6
1.336,530868.6284836695,673457.9839166685,-1.0239929385162839e6
1.344,533690.3566680177,664310.801129895,-978821.5546926149
1.352,534861.7020022965,651393.4318604841,-933042.6853993505
1.36,534423.2803631054,634808.9906302888,-886667.5075418801
1.368,532384.9320506785,614650.826419911,-839741.8588288513
1.376,528770.6800471613,591053.2988964973,-792223.5803071171
1.384,523556.19958290784,564161.7138376696,-744213.8622605619
1.392,516790.076925433,534115.6107858716,-695729.2449130429
1.4,508508.38911272085,501087.1045654702,-646756.1352219128
1.408,498728.7753071258,465325.45848154114,-597367.8800931287
1.416,487462.6853607942,427016.94450137636,-547581.6478698918
1.424,474793.9266358712,386357.4509201628,-497412.2713673984
1.432,460759.062868649,343631.16926497774,-446876.28306298744
1.44,445389.78292470396,299057.4472711898,-396066.3953775826
1.448,428776.09128372686,252912.19694649926,-344953.79888617346
1.456,410912.88760237343,205433.7520848511,-293586.9402491753
1.464,391912.5670843227,156946.81906377152,-241928.05312855274
1.472,371789.7540835785,107672.82839205494,-190145.95904327492
1.48,350599.46318094624,57941.716447306804,-138179.83151245606
1.488,328454.67254660075,8022.247261365819,-86075.51831963827
1.496,305425.8195944003,-41820.932959988364,-33881.47041651906
1.504,281536.9762387468,-91292.07289193301,18348.36048242211
1.512,256885.25211014954,-140084.03305631795,70619.7331348105
1.52,231569.33428524504,-187984.17230793662,122871.4980272862
1.528,205602.70169056515,-234684.70330074427,175112.335706164
1.536,179092.47851977008,-279942.20023224823,227269.11463669702
1.544,152078.69172783825,-323496.5781071296,279348.2573916538
1.552,124695.16902539987,-365107.9181267123,331243.8010830734
1.56,96989.55703770678,-404568.93934511376,382981.6411708227
1.568,69035.86342500552,-441623.28890335077,434500.919649215
1.576,40912.27303483905,-476134.66637741536,485743.27958747133
1.584,12692.065397186645,-507900.3137749616,536700.6048484705
1.592,-15532.54545366276,-536754.2190000527,587312.2173994733
1.6,-43723.51326090856,-562537.283203462,637569.8245532017
1.608,-71791.29009278663,-585139.0757037707,687382.655541545
1.616,-99697.83519071597,-604462.0436889138,736756.5623851003
1.624,-127284.22701723829,-620401.9084483511,785656.0229800245
1.632,-154571.25814144796,-632901.4976251737,834055.7659982799
1.64,-181464.76719255472,-641918.0415290693,881880.2652686178
1.648,-207902.73648211235,-647400.6777843903,929091.2218484314
1.656,-233826.49179547696,-649368.8819779328,975673.6994208228
1.664,-259166.03954715212,-647816.5346926835,1.0215682123836913e6
1.672,-283849.9532096469,-642789.8293869052,1.0667397636869529e6
1.68,-307826.91934760805,-634355.355845982,1.1111718213670766e6
1.688,-331074.86874204245,-622577.996105963,1.1547860520075667e6
1.696,-353498.36494709546,-607554.2846939036,1.1975845889976467e6
1.704,-375089.8752769278,-589381.1042487186,1.2395415673145435e6
1.712,-395775.04795515095,-568203.8956604326,1.2806263409039038e6
1.72,-415516.35949326097,-544165.0011011035,1.320731674127318e6
1.728,-434285.93152577453,-517434.18477218784,1.3599136003183061e6
1.736,-452005.84179832734,-488167.2280722716,1.398092139079752e6
1.744,-468691.7531907748,-456573.94387180556,1.4352205045219634e6
1.752,-484264.69769220817,-422848.5565827362,1.4712688551630348e6
1.76,-498710.23910831334,-387200.65094833984,1.5062455837383524e6
1.768,-512008.1329351672,-349835.4658701208,1.5401215930239048e6
1.776,-524091.3106665703,-311010.01050793787,1.5728449929168313e6
1.784,-534962.807675898,-270935.5443868317,1.6044078377820002e6
1.792,-544596.4070737528,-229869.99110174607,1.634775142154476e6
1.8,-552967.84478183,-188046.27819228746,1.663942996689826e6
1.808,-560057.21520493,-145724.09154580822,1.6918550440856672e6
1.816,-565857.673610587,-103150.37976240313,1.7184991546829473e6
1.824,-570364.6287292021,-60559.293521837644,1.743852845935629e6
1.832,-573546.7054524367,-18221.868722302366,1.767934280682645e6
1.84,-575402.0244256549,23626.404229172786,1.790695535927174e6
1.848,-575941.9529154283,64754.04418576172,1.8121120222613146e6
1.856,-575142.8395905193,104905.47882055098,1.8321889321471606e6
1.864,-573013.0083656729,143873.94778184412,1.8508994090362622e6
1.872,-569561.1065226629,181455.95563818928,1.8682890110453349e6
1.88,-564801.0428880929,217415.72196135746,1.8842739836787258e6
1.888,-558730.4543526142,251575.49119147516,1.8988960989384775e6
1.896,-551361.7438617087,283744.9497759601,1.9121149901217045e6
1.904,-542693.1104349201,313752.60931292665,1.9239407385449759e6
1.912,-532773.1876695473,341434.25064555404,1.934356864198703e6
1.92,-521584.3466687598,366658.5808503701,1.943408543699035e6
1.928,-509193.18685151986,389276.064970988,1.9510493751824736e6
1.936,-495590.09527322213,409192.0443155991,1.9572816096874955e6
1.944,-480838.6248413079,426313.78876527346,1.9621280315868326e6
1.952,-464946.75012296403,440544.84244271566,1.9655827450488827e6
1.96,-447953.54531550355,451832.03121092956,1.9676545934755628e6
1.968,-429908.38299669337,460151.22718780785,1.9683195651241285e6
1.976,-410826.0452773712,465442.36449772096,1.9676455310878344e6
1.984,-390766.3083853937,467727.60436998704,1.9655751307252196e6
1.992,-369774.89587229706,466988.0743358874,1.962202634037158e6
2.0,-347903.9700641816,463260.8521966599,1.9574696178938495e6
2.008,-325185.56736064935,456594.83733914205,1.9514020190353892e6
2.016,-301679.32496056275,447049.6279156841,1.9439822909703553e6
2.024,-277440.18234360195,434704.9955589422,1.9352289041277524e6
2.032,-252537.97641439043,419642.1488857339,1.9251996442458536e6
2.04,-227025.18071296756,401977.9218115962,1.9138559299185565e6
2.048,-200985.47191070017,381832.621766486,1.9012605757339401e6
2.056,-174444.05131819326,359331.56251278333,1.887401637145067e6
2.064,-147483.45142559076,334639.8191943202,1.8723055691810963e6
2.072,-120171.55825301529,307920.4007843409,1.8559918327894055e6
2.08,-92576.33997394759,279330.1612307434,1.8384419621480836e6
2.088,-64773.98542503525,249064.272817953,1.8197101655247128e6
2.096,-36824.03139309917,217312.24161650924,1.7997956955017196e6
2.104,-8800.941898212537,184271.74610254748,1.7787263645921613e6
2.112,19228.432738514373,150145.7734973637,1.756532600395703e6
2.12,47180.16984845243,115148.82518077083,1.7332350404050942e6
2.128,74968.8148761762,79496.50327435452,1.7088376996497104e6
2.136,102543.55928180751,43405.57684292738,1.683347864640911e6
2.144,129807.93750406925,7088.245005091747,1.6568096065506982e6
2.152,156699.79929957422,-29232.719829375998,1.6292031478817267e6
2.16,183163.41603610746,-65335.85896382338,1.6006094809665885e6
2.168,209104.7701350001,-101009.67272391071,1.5710277792690378e6
2.176,234446.91023550605,-136035.54852341933,1.5404748261773328e6
2.184,259138.97474450592,-170206.98768527244,1.508980380731938e6
2.192,283101.5222598862,-203322.72452675487,1.4765262442120651e6
2.2,306275.1225846788,-235187.05298243475,1.4431855677698376e6
2.208,328569.41511447233,-265611.8284727433,1.4090057199415083e6
2.216,349953.52906251594,-294418.39242386946,1.3739449372871153e6
