timestep,xmain,pmain,xhigh,phigh,xlow,plow
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,-1.067399626453216e6,59758.00433383671,342546.9446226822,-24849.627230006226,1.485686523805747e6,-36815.40457976631
0.016,-1.0625039371472923e6,118201.42670758507,339718.3695307521,-50046.416209564275,1.4843589610314702e6,-73379.74077768496
0.024,-1.0543699564904023e6,176315.26179387627,335008.89638023084,-75629.98279327633,1.4822169114316953e6,-110624.37318955391
0.032,-1.0429503457971296e6,234072.49025690288,327799.5652372781,-100349.77656168715,1.4788332909974435e6,-147830.42731335494
0.04,-1.0283560184900773e6,291185.07348850963,319903.5406595989,-124452.83200801669,1.4746659283424413e6,-184972.80342193577
0.048,-1.0106332335979897e6,347579.6562176278,308862.40542680654,-147772.91287523953,1.4698178575699243e6,-221925.11294992207
0.056,-989943.3904945806,402859.8843315834,296051.1373024266,-170466.79863597316,1.4631011469499106e6,-258790.95968339895
0.064,-966124.8781744284,456815.381849715,282156.82672214595,-192401.45590539795,1.4552232601515441e6,-295482.29187545535
0.072,-939468.7436127316,509798.7793412065,266126.03178552014,-213031.60533298797,1.4478839747994381e6,-331922.30030459305
0.08,-909873.8132899354,560928.5904813448,250295.21471881052,-232273.37031061974,1.4392319843646595e6,-368181.8739028444
0.088,-877522.1877390554,610512.0054914916,232684.3348849854,-250643.52799901352,1.4291715440541643e6,-404247.17153840244
0.096,-842533.9639000483,658154.2307909755,213488.8458399888,-267436.08189456817,1.418059833752924e6,-440066.4487595915
0.104,-804858.4213754379,703960.6555510573,192597.59286744893,-282708.68217878125,1.4064050502289762e6,-475532.3242477538
0.112,-764676.1431845926,747527.4287630952,171480.31697221732,-296449.546742996,1.3938242517246772e6,-510866.50531046296
0.12,-722188.3365993705,788690.2594426885,148713.66723853518,-308575.19345035654,1.3805688293355065e6,-545929.2559621308
0.128,-677526.682122251,827513.6009343141,125181.32447239642,-319014.0150823903,1.3665740594617703e6,-580076.6846613991
0.136,-630750.8924166816,863810.7778109165,99977.1939600802,-327593.47033860756,1.3516034126494094e6,-614703.9617387156
0.144,-582046.303361728,897248.7602560013,74894.15761632839,-333981.76966282807,1.3358925790385837e6,-648202.7088511648
0.152,-531568.9808207297,928006.3650520889,49416.629478236966,-338713.31014687975,1.3194421959171798e6,-681527.3080157599
0.16,-479480.45005728,955897.6970607701,23477.017405496677,-341670.7398414361,1.3015515294309491e6,-714486.7794232554
0.168,-425907.4524171447,983118.1799737536,-310.6126752323852,-339493.52635969577,1.2812597839920344e6,-747090.4078111062
0.176,-370938.63235312514,1.0051775177390425e6,-26023.70306280218,-338388.49851165205,1.261873129256496e6,-779139.6427615763
0.184,-314786.8377422736,1.0238469928062517e6,-51744.875883678425,-335494.0370743983,1.2422067530170626e6,-810430.5550056353
0.192,-257748.75042210132,1.0396579381312759e6,-76605.1176776635,-330639.5897709939,1.221446018073031e6,-841428.0488456207
0.2,-199891.075018945,1.0523383148025288e6,-101509.97905682596,-323832.83726261323,1.1999903123813302e6,-872229.1293458383
0.208,-141434.47532576474,1.0616938160020043e6,-125229.7908553359,-314990.4627561235,1.1780803232973448e6,-902021.1746956279
0.216,-82546.97924152455,1.0678369418958446e6,-148961.609354388,-304793.92975533457,1.1548841340030094e6,-931131.1557770615
0.224,-23415.82101718432,1.0706945450387069e6,-171715.0888636148,-292645.281636872,1.1313303549237768e6,-959451.1715429731
0.232,35805.6514931164,1.0701337731699974e6,-193501.050983109,-278698.77008408634,1.1065820041036943e6,-987603.870266986
0.24,94882.84031710798,1.0665188448826566e6,-213863.85240983887,-263507.70952087245,1.0810297556690082e6,-1.0151164241595423e6
0.248,153668.59073913895,1.059694146729649e6,-233093.92495481434,-246668.44537447818,1.0553510444355763e6,-1.0420565751231839e6
0.256,212024.74432119506,1.0496305428256535e6,-251097.58144318697,-228528.46153103627,1.0290167847395211e6,-1.0684587477198592e6
0.264,269722.9936236437,1.0363660072746114e6,-267474.2514242981,-209111.9508171456,1.0016957710291406e6,-1.0941964996892426e6
0.272,326624.22503195016,1.0199158244254297e6,-282366.18415364565,-188289.18193949846,974045.6522835261,-1.1190813681295777e6
0.28,382461.64821204933,1.0004744756695747e6,-295817.58809844253,-166505.82734414632,945616.0147349101,-1.1432982789711165e6
0.288,437192.3091234535,977825.5217919893,-307432.55611189385,-143777.4727249304,916521.6272562392,-1.16690262451164e6
