timestep,xmain,pmain,xhigh,phigh,xlow,plow
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,-533327.3347398342,29336.40535139965,527046.4864220101,-38181.288661373634,1.283731650679694e6,-33568.40520170552
0.016,-530845.3650209422,59523.186040623004,522701.4376222863,-77376.92777264766,1.2823176143882945e6,-65751.57861814798
0.024,-526734.5601545763,88614.30931785898,515205.29988810833,-116924.20072846033,1.2800868518212687e6,-98106.8300924393
0.032,-521022.1010088799,117699.54791877443,504683.29579633306,-155308.93660600102,1.2773894572809944e6,-130169.68660269244
0.04,-513772.1757873049,146396.19416953393,491198.27683591726,-192862.30794120554,1.2736534858281445e6,-162283.2987466162
0.048,-504976.12395427434,174506.52041833597,475940.4501216212,-229331.49800107686,1.269043310514275e6,-194269.75744877628
0.056,-494618.299989892,202202.62511905376,456048.7355770998,-264863.5808173062,1.2641376156763448e6,-226100.22564738884
0.064,-482724.76598410367,229192.39721708672,435227.71922442166,-298936.6597368531,1.2580767022037667e6,-257817.36072492562
0.072,-469288.3517849151,255351.2354952759,411066.0543069766,-330861.8600541237,1.2507656567934358e6,-289294.50023725076
0.08,-454441.95499431615,280958.4937359958,385477.9876859233,-360877.30446116923,1.243314122454273e6,-320667.3701418343
0.088,-438038.1216379552,305693.256797576,356503.99686946557,-388811.2395348875,1.234512623174123e6,-351718.99936154677
0.096,-420394.68641577894,329497.77531004994,325843.36755067314,-414737.3336077759,1.2247209060509389e6,-382584.7384153675
0.104,-401519.8886948884,351907.73380154226,293325.85742142884,-438086.20609986165,1.2145832693800386e6,-413201.62082201167
0.112,-381353.0551440443,373500.9169234353,259131.46275715166,-458895.13201475964,1.2038736782954389e6,-443608.5718150766
0.12,-360159.88271703984,393920.9733970878,223856.99875393984,-477083.1307990639,1.192439470275459e6,-473368.9681327518
0.128,-337802.561241789,413249.34217589354,187511.6815005059,-492472.1321639534,1.1798768014808109e6,-503462.9671862167
0.136,-314449.7245685362,431505.4595341208,150013.14800373238,-505048.61288919393,1.167101021939732e6,-533208.7602746877
0.144,-290121.02147359564,448306.25261428923,111398.94811491853,-515000.782253301,1.1533995639997884e6,-562000.9473632077
0.152,-264915.383181323,463624.13922853896,72355.17064010339,-521944.2795372961,1.1386796927549331e6,-591432.3387135756
0.16,-238917.34920056566,477470.4214403089,32294.725363405512,-526020.2670763272,1.1235116322802128e6,-619603.9428505527
0.168,-212172.26770080708,490149.00340010313,-7740.15005424041,-527037.2502309716,1.1073979671629008e6,-648414.1326070417
0.176,-184796.4851666573,501293.6340355514,-47327.980456415244,-525113.1252456226,1.0902631437092728e6,-676804.7399493759
0.184,-156834.41212487096,510754.03790471336,-86901.46360630728,-520455.59441854985,1.0728219793954263e6,-704407.8352342247
0.192,-128384.61767761412,518782.24864244135,-126177.24586597874,-512310.05507874326,1.0547055958279273e6,-731379.4354257957
0.2,-99545.5432295422,525239.993035061,-164006.77487461292,-501519.80445986264,1.0359888171507575e6,-757325.5619575733
0.208,-70364.66542351867,530087.2349173398,-201247.4762211039,-487755.1278321119,1.0167605570957487e6,-783344.704528021
0.216,-40962.70311454443,533263.2668632158,-237440.5757928724,-471391.1405993821,996987.8026804908,-808749.6074389016
0.224,-11400.546057573301,534938.8021257989,-272015.33103186556,-451864.4440525924,976352.0858390186,-833667.3275063445
0.232,18121.722182547157,534959.1590434873,-305112.44081110845,-429994.9419867949,955059.0180235801,-858164.6999773658
0.24,47630.244036494194,533147.5276330798,-336574.43692523637,-405923.418732065,933333.9643594158,-882369.5841374891
0.248,77038.43323484529,529659.2173945877,-366116.12974361633,-379391.9004836259,910828.8292666666,-905249.6984221766
0.256,106111.74354404504,524960.1460946021,-393509.1117590883,-350872.8686970814,887850.3832517865,-927648.4846038964
0.264,135044.06701780742,517992.5348624982,-418865.0279235588,-320280.177446657,864147.4443335445,-949376.4464184373
0.272,163512.734992155,509576.35988257185,-441653.1743807352,-287895.080421075,839865.5788478856,-970675.6309436177
0.28,191176.59491177328,499460.92972685955,-461835.434077947,-253823.70828469406,815299.8590902084,-991739.5632388444
0.288,218489.96455809427,487901.64976954984,-479791.80724441435,-218471.20985268502,790050.4287417743,-1.0120958532487954e6
0.296,245180.69341222738,474858.41811203735,-495185.4666777073,-181814.76060298498,764481.1355352633,-1.0318928495216871e6
0.304,270952.6898571851,460841.4419601573,-507641.5451469032,-143864.71621567,738254.4095095168,-1.0508206373069515e6
0.312,296031.04973764735,445213.66056666453,-517078.6155746452,-105530.80720293315,711521.6387699497,-1.0692319412262293e6
0.32,319856.5243451095,427883.6592228422,-523602.3415911108,-66393.43417089277,684594.3593722212,-1.0869271869606604e6
0.328,342788.4519672577,409323.4392244666,-526945.7261015256,-26954.244983605076,657069.1398383463,-1.1038087207745323e6
0.336,364880.86875413696,390213.576083481,-527471.8234412235,12473.682907100843,629049.7297081819,-1.120089016229481e6
0.344,385649.78221589443,369011.9324130056,-525115.9070349088,52176.777019479436,600614.8222403866,-1.135788977121373e6
0.352,405408.9338079027,347261.18126888166,-519764.7037830556,91710.16764193859,572191.0574127188,-1.1507315559972697e6
0.36,424148.96887596603,323772.1131464991,-511176.77542813926,130512.47669954818,543150.9921620202,-1.1649648021695488e6
