timestep,xmain,pmain,xhigh,phigh,xlow,plow
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,-360697.2856285301,19440.639038285924,-190317.5101643088,15799.980826543202,-125092.47295102826,3466.803351986086
0.016,-359051.30532293866,39459.98542982618,-188661.3175433486,29230.13967197315,-124955.38484677639,5909.735505686303
0.024,-356295.3662411593,58368.69929563756,-185835.04295456375,42761.190968707495,-124794.71259450766,9096.763051304628
0.032,-352497.3306580281,77991.25111973146,-182133.56180853813,56638.14231614887,-124444.48235948093,12305.049856856556
0.04,-347581.0152201791,97507.1213358124,-177246.75277090308,70311.79807695399,-124169.69889835849,15353.909787695246
0.048,-341746.33767476986,116519.30306713682,-170843.12715294346,83726.76115790014,-122826.52233996174,18498.149566972435
0.056,-335026.7025247976,135044.3778648497,-163268.72533530634,96359.89642348027,-120770.97464770543,21572.067726703204
0.064,-326849.08584570076,153574.52222608292,-155889.03024331015,108426.41232663009,-120724.67957653778,24620.727063184237
0.072,-317985.26102526515,171594.27089444423,-146200.00860385847,119886.86486045456,-119876.95285323297,27641.655448798785
0.08,-307981.780895521,188994.4693445373,-137158.04469923882,130491.37376267737,-118505.55768646415,30610.99267715356
0.088,-297155.8430203214,205718.4150845336,-126627.95332316995,140469.0336036499,-117410.29199360643,33616.970741693156
0.096,-285328.1664806731,221788.22909808657,-116101.22669138451,149470.4162559228,-116901.50639639344,36412.67725220937
0.104,-272462.148555991,237147.08979388827,-104297.94648757853,157826.10633120858,-116285.54023008134,39223.27962429775
0.112,-258972.72269491677,252016.99359200735,-91380.87746410554,165196.19388854504,-115422.38049170513,41998.97826617093
0.12,-244648.99939470572,265848.31609069597,-78704.84043866655,171560.0819819515,-114176.55836391004,45125.6309621639
0.128,-229637.75298166752,278833.8669923149,-64995.179580952936,177155.16142611695,-112805.99732532285,47961.728015867695
0.136,-213874.23894814748,291017.61276689393,-51537.965909611514,181477.86948477384,-111396.31868099925,50789.853085452225
0.144,-197457.62669723746,302424.0010685927,-37879.99105781209,184857.63439102986,-109777.69003500418,53401.21720925341
0.152,-180441.92595479093,313061.46579564066,-23839.02039774457,187432.7975869595,-108438.71785115277,55618.00725696844
0.16,-162867.86229961098,322817.3023044382,-10203.695950255402,188674.95634971972,-106823.27448018758,58539.41772774039
0.168,-144715.7325972747,333167.2648661019,2270.181015853135,190760.90171436712,-107810.6737030118,60337.590394341416
0.176,-126078.12317249934,340701.62943277345,17257.63439772022,190321.29233825012,-106378.06515919273,62832.24385149098
0.184,-107051.5013821778,346956.1739075504,31578.684135679512,188307.27985882896,-104529.07701789954,66375.80923309896
0.192,-87709.84391165082,352752.6228068741,45985.27510234042,185138.81902725543,-102468.3749287335,69056.22571492054
