timestep,xmain,pmain,xhigh,phigh,xlow,plow
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,-741947.2821864006,40926.95652947249,997710.6917788687,-74380.91152754154,-1.862313872024594e6,45733.42269129444
0.016,-738525.6256690377,82079.86512783855,989123.3252433818,-152119.949439001,-1.8604726340916427e6,92836.20289780281
0.024,-732873.0716424454,122524.16647402148,974896.8752694526,-226542.14445114075,-1.857440674219271e6,139351.41673985118
0.032,-725092.2298954324,162823.51088333424,955086.448462064,-298911.0120853944,-1.853241398688773e6,186288.34091759188
0.04,-714811.1831264574,202742.66792915846,929562.6922845362,-369898.38683500054,-1.8481032941697112e6,232732.27484812133
0.048,-702381.3182064675,242016.27943106295,898743.5528978126,-438740.4115793637,-1.8414467640566453e6,279084.1133843374
0.056,-687816.0507615397,280475.008838109,863370.4800896898,-505275.39586317365,-1.8341642212867213e6,325298.13619107415
0.064,-671271.264142473,318084.4862766866,823662.4584252601,-568861.9706713452,-1.82560520521461e6,371301.9056188495
0.072,-652787.8230261089,354575.1276605203,778791.4888149616,-629212.070407116,-1.8152875202725234e6,417024.85466628044
0.08,-632177.7980256726,390264.3967955055,729435.5121263287,-686145.3942332403,-1.8042328309751367e6,462434.9093868409
0.088,-609782.6342741706,424575.9188739856,675724.1662051771,-739110.2547880213,-1.7922495583822406e6,507456.06580790086
0.096,-585407.2573071826,457601.09175280825,617708.108204614,-787845.3700204494,-1.7790004431769797e6,552321.7139796669
0.104,-559096.0828025469,489241.8829176596,556897.2823041439,-832102.1538252364,-1.7644768077763661e6,596734.5966185249
0.112,-531231.2846942722,519514.3259322084,493151.81173695944,-871665.2822049742,-1.749154512247892e6,640866.6586051609
0.12,-501744.9489384941,548426.7557603793,425932.2020129194,-906296.802152869,-1.7322181785411718e6,684543.3162208662
0.128,-470673.3189238498,575518.3195659394,356711.76212783455,-935776.8912041992,-1.7146079008674729e6,727797.0273560332
0.136,-438165.5947105413,600247.89783548,285325.3581717552,-959813.9204456173,-1.695786934934769e6,771176.5733832887
0.144,-404325.896424287,623818.018987259,212217.5097829039,-978705.1327940198,-1.6759684138165233e6,813710.1216393275
0.152,-369227.09736334614,645607.8973515944,138274.5759992584,-991652.9208381984,-1.6548459940576882e6,855158.8370002328
0.16,-332977.89822443767,664939.58527175,63484.417900144705,-999232.1801767786,-1.6325692456398895e6,896594.0206843608
0.168,-295685.2854428997,682361.2429109865,-11869.299711460684,-1.0013283889586056e6,-1.6095261201287357e6,937401.9437240753
0.176,-257532.76145969317,697478.8503078498,-87428.48945503213,-997493.5545640485,-1.5852317305531423e6,977475.8169495044
0.184,-218573.9424881327,710367.102406935,-162285.7937082777,-987996.5304922762,-1.560144652882493e6,1.0165991236304967e6
0.192,-179030.68841415035,720954.6900678491,-236511.20345613558,-972832.8592630211,-1.5340834686426101e6,1.0555076351199197e6
0.2,-138891.59206756967,730277.5149539972,-309122.3343382299,-952270.9978237894,-1.5068893996997606e6,1.0937384558457443e6
0.208,-98336.35561102867,736748.6421889577,-380211.77931311686,-926302.4296044421,-1.4785659664826791e6,1.1312640956227165e6
0.216,-57466.203694605116,740990.9623494227,-448922.1757068938,-894490.9150035448,-1.4497448843285004e6,1.1681823679180967e6
0.224,-16433.201271063186,743077.2814654807,-514770.2371275414,-858192.5011111621,-1.4200056320147514e6,1.2043971720672634e6
0.232,24650.931950346778,742874.3153622195,-578054.400176813,-816864.2889918382,-1.3891576978347744e6,1.2396561535055705e6
0.24,65669.85712635492,740226.0263737548,-637395.8871427859,-770909.7553342248,-1.3577018051109656e6,1.2741358655352104e6
0.248,106558.98170716224,735345.2229852272,-693848.17556831,-720744.8609932148,-1.32504266680308e6,1.3079811962552136e6
0.256,147021.86541547283,728352.3055890922,-745600.2420564257,-666498.4259821358,-1.2916966758874678e6,1.3409556265594903e6
0.264,186918.61852840616,719262.8522292309,-793340.6617124282,-608621.7777338569,-1.257462388460717e6,1.3732159616152418e6
0.272,226447.9666644984,708199.4094475581,-837028.4955083083,-546878.2109583654,-1.222662110803708e6,1.4045545497120651e6
0.28,265281.4663446178,694739.6892467131,-875501.0851154084,-481906.19528826704,-1.186869630840451e6,1.4350451742825955e6
0.288,303242.47139206156,679226.681103108,-909010.6405191376,-414394.19520958024,-1.1503204844340861e6,1.464612640300693e6
0.296,340407.93016704,661468.7670379755,-937718.1398030997,-344371.7034197925,-1.1131297857081452e6,1.493213804329095e6
0.304,376504.8470340279,642054.2838740702,-961044.031366959,-272470.2179505126,-1.0754095800854857e6,1.5210202808606287e6
0.312,411437.24364739173,620524.4816399503,-978963.7358396209,-199096.4732636864,-1.0366001249308526e6,1.5478144731592417e6
0.32,444965.41526427603,597158.1195277496,-991313.9281586544,-124378.26398635296,-997487.2980976218,1.5736707197074257e6
0.328,477201.70397165633,571605.3429791598,-997811.0753743539,-49596.62190975339,-957661.4349507458,1.5985165905426608e6
0.336,508258.89092336816,544670.5175357752,-998785.3216171906,25888.345639932297,-917323.4933101427,1.6224459177445988e6
0.344,537461.6308344727,515919.13347973576,-993988.3728331481,101275.17917319614,-876291.6079723765,1.6451479968834342e6
0.352,565305.3520406696,484811.91441865155,-983621.0708764289,175840.18565862128,-834740.5031429898,1.6667342164577125e6
0.36,591270.2544598914,452800.6318076263,-967609.3421826408,249848.99864317928,-792777.248506328,1.687374311652024e6
0.368,615626.6162391156,418943.7981806993,-946082.0577143538,321949.0883993615,-750445.996678733,1.706869728742504e6
0.376,637803.5512288249,383920.128742978,-919074.9591302958,392598.11512233416,-707330.3263099313,1.7253471221972203e6
0.384,657643.2795290387,348336.4988463235,-886785.3615567171,460657.295623327,-663707.6451708695,1.7425805355413568e6
0.392,675812.976005648,311384.16806989117,-849642.4428278028,526173.7495640976,-619696.0157075807,1.7587822897830766e6
0.4,692335.0369564231,273807.0435418909,-807478.804655361,588616.5410943079,-575056.5476912264,1.7737443912577985e6
0.408,706342.3711061348,234784.8931276869,-760727.7444783571,647625.6583917744,-530411.525753767,1.7874779732339096e6
0.416,718265.0213538309,194948.39882069005,-709801.8371220211,702761.5702016453,-485158.7362363742,1.8000943081177538e6
0.424,728052.0457671304,154980.66563291565,-654853.9054901261,753894.1785123514,-439823.3466007321,1.8114903584947474e6
0.432,735247.6451954766,114519.90976315664,-596407.150917879,800805.3128528594,-394344.81038835837,1.8216836855115641e6
0.44,740290.1914258611,73591.23024814903,-534255.1756914267,842884.484028386,-348600.44121881196,1.8306409444317422e6
0.448,743311.9375541362,32097.00382083593,-469234.83745276456,880449.0963633917,-302638.2619712865,1.8383999038477228e6
0.456,744048.5379357481,-9518.041206583634,-401503.0896388779,912650.1559262172,-256216.1111347437,1.8449852954203677e6
0.464,742301.2029957261,-51524.85696964112,-331584.96158147795,939361.6035113154,-209672.22230923726,1.8503553913987263e6
0.472,738370.2247554344,-92656.09977175837,-259854.55921237197,960677.9544729706,-163047.61322200298,1.8544113943397219e6
0.48,732126.450839657,-133978.4636269084,-186826.65728949654,976882.9246728683,-116493.49033879086,1.8571889753006648e6
0.488,723217.7535866061,-174888.03403255437,-112809.63641863418,987268.0117942388,-69692.71814481753,1.8587024094218581e6
0.496,712491.2424534893,-215804.69620503657,-38136.91202433779,992324.0008944932,-23027.755894209393,1.8589516863254698e6
0.504,699682.3670016117,-254957.64912085995,36678.45387987523,991445.7780272524,23653.232847966,1.8581207622773165e6
0.512,684336.9969124781,-294192.025689998,111234.12352164777,984822.8581367631,70448.44381694421,1.855942214441213e6
0.52,667074.0898571551,-332377.74547979375,185077.67773432983,972672.6128157658,117361.65118835979,1.8526610151264367e6
0.528,647658.792409499,-369802.57628140016,257774.24264861783,954939.7813296182,163863.2871318644,1.8481954278473803e6
0.536,626048.3781142186,-406219.60370322916,328949.23798748705,931893.0803257938,209987.18370294536,1.8426680717551333e6
0.544,602823.0581138863,-441598.70458566543,398199.19648161676,903538.751138636,256269.03507262774,1.8355326791527783e6
0.552,577552.594567666,-475467.60039793566,465084.4203532711,869970.9231675899,302790.8069135317,1.8273526654265656e6
0.56,550213.9936547329,-507670.812442723,529292.1260567469,831617.3089039687,348667.245356855,1.8183027289417717e6
0.568,521482.0737801304,-537779.526689873,590328.8634516469,788440.9668501761,394218.686362382,1.8081816903024246e6
0.576,490788.3311417435,-566452.5391587013,648032.5449642077,740891.0460830621,439616.9226374065,1.7969748417631832e6
0.584,458745.89833951526,-592915.8596200747,701913.497853456,689304.5883431373,484437.4784724658,1.7847181472219983e6
