freq, psd, lorentzian
0.000000000000000000e+00,7.989191138993313033e-10,1.227102205424960640e-08
1.111111111111498212e+04,4.090335779074052141e-10,1.247852896698215860e-08
2.222222222222996425e+04,2.369173466036358345e-11,1.269229044088317548e-08
3.333333333334494819e+04,3.405137270292487397e-11,1.291256033486362797e-08
4.444444444445992849e+04,9.458794285631940116e-11,1.313960551648805766e-08
5.555555555557490879e+04,1.446193034773530638e-10,1.337370667001009076e-08
6.666666666668989637e+04,1.161339733309212586e-10,1.361515916356357839e-08
7.777777777780487668e+04,2.565576437741623745e-10,1.386427398050984196e-08
8.888888888891985698e+04,3.688673284893969088e-10,1.412137872042208956e-08
1.000000000000348373e+05,3.168084444636008926e-10,1.438681867572041450e-08
1.111111111111498176e+05,6.213797468667259715e-10,1.466095799056123516e-08
1.222222222222647979e+05,5.167068151612447419e-10,1.494418090924044565e-08
1.333333333333797927e+05,5.469098601742262848e-10,1.523689312209826247e-08
1.444444444444947585e+05,6.239698752244713086e-10,1.553952321772451091e-08
1.555555555556097534e+05,6.637272039790080754e-10,1.585252425116616696e-08
1.666666666667247191e+05,8.159148336154563626e-10,1.617637543884644564e-08
1.777777777778397140e+05,5.792426980173960232e-10,1.651158399202980606e-08
1.888888888889547088e+05,9.457258963254254253e-10,1.685868710192452186e-08
2.000000000000696746e+05,1.113523425980312788e-09,1.721825409092299542e-08
2.111111111111846694e+05,1.048727986048241504e-09,1.759088874605782455e-08
2.222222222222996352e+05,1.336175751558556878e-09,1.797723185252306107e-08
2.333333333334146300e+05,1.282485656855116475e-09,1.837796394710110099e-08
2.444444444445295958e+05,1.450421974514766806e-09,1.879380831357582008e-08
2.555555555556445906e+05,2.371054256037768831e-09,1.922553424473798070e-08
2.666666666667595855e+05,1.574991889284270497e-09,1.967396059843895007e-08
2.777777777778745512e+05,2.032697706044254140e-09,2.013995967836985803e-08
2.888888888889895170e+05,1.670584842930328562e-09,2.062446147389063602e-08
3.000000000001045410e+05,3.646726096486541122e-09,2.112845829736762129e-08
3.111111111112195067e+05,4.116059193696846617e-09,2.165300986217426499e-08
3.222222222223344725e+05,2.369904554963090353e-09,2.219924884985013460e-08
3.333333333334494382e+05,6.276307913976958454e-09,2.276838702099877071e-08
3.444444444445644622e+05,6.065784184822563602e-09,2.336172193145048888e-08
3.555555555556794279e+05,5.204535549055705634e-09,2.398064432315696979e-08
3.666666666667943937e+05,6.649175271891959560e-09,2.462664626838063811e-08
3.777777777779094176e+05,4.162439980121664479e-09,2.530133015617983780e-08
3.888888888890243834e+05,4.181044566895072681e-09,2.600641862219216644e-08
4.000000000001393491e+05,5.329450647248672209e-09,2.674376553654468477e-08
4.111111111112543149e+05,7.045118374294752909e-09,2.751536818067960211e-08
4.222222222223693389e+05,8.745034688827621562e-09,2.832338076234703352e-08
4.333333333334843046e+05,9.388255497493058564e-09,2.917012943941913066e-08
4.444444444445992704e+05,6.632947590214270953e-09,3.005812904804633753e-08
4.555555555557142943e+05,6.588711132680693384e-09,3.099010175963301461e-08
4.666666666668292601e+05,9.239111134497350617e-09,3.196899792490730582e-08
4.777777777779442258e+05,8.032634141380524777e-09,3.299801940290523530e-08
4.888888888890591916e+05,7.096860618706390135e-09,3.408064571907317735e-08
5.000000000001742155e+05,8.542226347340604254e-09,3.522066345123977925e-08
5.111111111112891813e+05,1.060231304237815363e-08,3.642219930652573291e-08
5.222222222224041470e+05,1.334010297405069113e-08,3.768975742830605514e-08
5.333333333335191710e+05,1.054616739901086175e-08,3.902826156250823840e-08
5.444444444446341367e+05,8.377313605202587416e-09,4.044310281976076904e-08
5.555555555557491025e+05,1.525122108907414324e-08,4.194019389781452690e-08
5.666666666668640682e+05,1.550442371790330077e-08,4.352603078171309337e-08
5.777777777779790340e+05,1.096188831774907905e-08,4.520776312293154346e-08
5.888888888890939998e+05,1.739113064842952760e-08,4.699327472003386698e-08
6.000000000002090819e+05,2.750611200159652896e-08,4.889127579094729179e-08
6.111111111113240477e+05,3.763927384920145227e-08,5.091140905154620961e-08
6.222222222224390134e+05,3.562258769154143305e-08,5.306437201053768281e-08
6.333333333335539792e+05,1.456445261151344681e-08,5.536205837394298529e-08
6.444444444446689449e+05,2.455147075953701820e-08,5.781772204579390923e-08
6.555555555557839107e+05,3.262124395696663978e-08,6.044616794316359760e-08
6.666666666668988764e+05,2.251753375532831995e-08,6.326397474952890837e-08
6.777777777780139586e+05,3.866781200962052628e-08,6.628975585749142650e-08
6.888888888891289243e+05,2.908192482240886655e-08,6.954446616085685085e-08
7.000000000002438901e+05,2.278281934795556099e-08,7.305176412645118179e-08
7.111111111113588559e+05,3.909120046343771215e-08,7.683844081231953616e-08
7.222222222224738216e+05,5.831436193690183388e-08,8.093493033940243654e-08
7.333333333335887874e+05,3.316861287989938681e-08,8.537591995262000503e-08
7.444444444447037531e+05,2.958393946814739317e-08,9.020108247164576698e-08
7.555555555558188353e+05,3.056359714251896006e-08,9.545595996543535655e-08
7.666666666669338010e+05,2.262205446498632960e-08,1.011930353424778995e-07
7.777777777780487668e+05,5.119542580247927494e-08,1.074730388548680594e-07
7.888888888891637325e+05,4.975485718032785698e-08,1.143665501325914305e-07
8.000000000002786983e+05,4.579293493663081257e-08,1.219559745015305857e-07
8.111111111113936640e+05,3.984898808839942010e-08,1.303379966958372197e-07
8.222222222225086298e+05,4.579022642244137804e-08,1.396266480749195650e-07
8.333333333336237120e+05,1.049715819125198411e-07,1.499571685832098961e-07
8.444444444447386777e+05,1.511688216714642538e-07,1.614909070193544184e-07
8.555555555558536435e+05,1.482505611777873891e-07,1.744215901788059752e-07
8.666666666669686092e+05,1.962215279570070198e-07,1.889834142350470754e-07
8.777777777780835750e+05,5.687840544599547890e-08,2.054615871551218564e-07
8.888888888891985407e+05,1.441883191373076799e-07,2.242062047924847284e-07
9.000000000003135065e+05,1.876114439016360168e-07,2.456507156933832144e-07
9.111111111114285886e+05,1.514449241167299342e-07,2.703367840599317149e-07
9.222222222225435544e+05,2.295389816154546280e-07,2.989481988732350527e-07
9.333333333336585201e+05,5.594258214688898666e-07,3.323577673555543012e-07
9.444444444447734859e+05,4.510037408986043526e-07,3.716931528365655397e-07
9.555555555558884516e+05,7.325330147979764883e-07,4.184308492997050106e-07
9.666666666670034174e+05,1.177312625753794199e-06,4.745327642185607807e-07
9.777777777781183831e+05,9.013655747360675177e-07,5.426487070657000841e-07
9.888888888892334653e+05,1.020936527556107289e-06,6.264232103091524851e-07
1.000000000000348431e+06,1.396018914432866931e-06,7.309717540610225796e-07
1.011111111111463397e+06,2.692409601083712096e-06,8.636397561567712778e-07
1.022222222222578363e+06,1.898809523204009855e-06,1.035247879636407397e-06
1.033333333333693328e+06,4.560940423460579693e-06,1.262200807858294702e-06
1.044444444444808294e+06,6.427497796235382755e-06,1.570180071806448675e-06
1.055555555555923376e+06,4.678470057310808032e-06,2.000833151755300601e-06
1.066666666667038342e+06,5.264418003638392773e-06,2.624249423679813432e-06
1.077777777778153308e+06,4.923899454595632209e-06,3.562491735623713525e-06
1.088888888889268273e+06,5.109581189893261057e-06,5.031815479458544436e-06
1.100000000000383239e+06,6.912412099452360526e-06,7.397702770224610279e-06
1.111111111111498205e+06,9.213405872660182429e-06,1.110612932881859968e-05
1.122222222222613171e+06,1.438519731486709422e-05,1.578919744526549433e-05
1.133333333333728136e+06,1.992072343115174055e-05,1.816043652838299628e-05
1.144444444444843102e+06,1.638900035697104973e-05,1.532966459060697157e-05
1.155555555555958068e+06,8.763575701060744217e-06,1.065676588988253507e-05
1.166666666667073034e+06,5.872353110568621943e-06,7.098681798691245528e-06
1.177777777778188000e+06,5.011053455298546511e-06,4.846703849279208736e-06
1.188888888889303198e+06,2.802564875118174462e-06,3.446048307991993448e-06
1.200000000000418164e+06,1.748994134467084891e-06,2.548165740009528100e-06
1.211111111111533130e+06,1.885652742170523926e-06,1.949089568913988320e-06
1.222222222222648095e+06,1.000583272087620146e-06,1.533682042866949764e-06
1.233333333333763061e+06,9.362596758077650091e-07,1.235624087565374056e-06
1.244444444444878027e+06,1.347362345642700541e-06,1.015358203099459403e-06
1.255555555555992993e+06,7.624659332339529236e-07,8.483999066243104810e-07
1.266666666667107958e+06,4.522354830665305778e-07,7.190549442771024456e-07
1.277777777778222924e+06,4.017605544561178356e-07,6.169389921514906387e-07
1.288888888889337890e+06,2.313534000935826507e-07,5.349832529417052716e-07
1.300000000000452856e+06,1.891696195547665186e-07,4.682527269572079152e-07
1.311111111111567821e+06,2.227528065072807998e-07,4.132237274328779981e-07
1.322222222222682787e+06,1.624648356735076895e-07,3.673292701437038445e-07
1.333333333333797753e+06,1.547390344798766275e-07,3.286654199738164647e-07
1.344444444444912951e+06,1.176159246581773842e-07,2.957970372052000712e-07
1.355555555556027917e+06,8.713226278599223236e-08,2.676264696759983317e-07
1.366666666667142883e+06,1.335524258258554661e-07,2.433030322431723084e-07
1.377777777778257849e+06,1.732092451198463093e-07,2.221594764563025023e-07
1.388888888889372814e+06,7.487926093499528911e-08,2.036666673572859381e-07
1.400000000000487780e+06,5.844009201415964008e-08,1.874007611334146556e-07
1.411111111111602746e+06,8.940361184497878925e-08,1.730191061131595615e-07
1.422222222222717712e+06,8.850929132735468802e-08,1.602423227626749672e-07
1.433333333333832677e+06,9.411451234122420124e-08,1.488408213064785846e-07
1.444444444444947643e+06,8.345097210691126937e-08,1.386245473649758926e-07
1.455555555556062609e+06,1.053828515040823832e-07,1.294351037489018745e-07
1.466666666667177575e+06,9.341702067575889011e-08,1.211396407704230813e-07
1.477777777778292540e+06,9.975249345612640214e-08,1.136260764372722744e-07
1.488888888889407506e+06,1.100347569739325984e-07,1.067993263513501073e-07
1.500000000000522472e+06,4.338064705967447677e-08,1.005783071514815104e-07
1.511111111111637671e+06,6.426265990908453447e-08,9.489353760138692455e-08
1.522222222222752636e+06,9.869931942055054311e-08,8.968520510097133131e-08
1.533333333333867602e+06,1.062432741679610038e-07,8.490159736923331710e-08
1.544444444444982568e+06,6.801925668192450475e-08,8.049782266639800973e-08
1.555555555556097534e+06,8.424139105560311583e-08,7.643475952602159027e-08
1.566666666667212499e+06,6.777818287644914249e-08,7.267819019616884528e-08
1.577777777778327465e+06,7.627948464248539580e-08,6.919808200766199697e-08
1.588888888889442431e+06,1.189085294683215072e-07,6.596798853200113981e-08
1.600000000000557397e+06,1.058136645193850084e-07,6.296454826571162483e-08
1.611111111111672362e+06,4.665892171433888240e-08,6.016706312187952009e-08
1.622222222222787328e+06,5.507056485244975331e-08,5.755714254711182488e-08
1.633333333333902294e+06,5.874119628675638617e-08,5.511840185278034678e-08
1.644444444445017260e+06,4.708946503669575525e-08,5.283620553197668665e-08
1.655555555556132225e+06,6.445953527899104373e-08,5.069744806242733189e-08
1.666666666667247424e+06,5.165322117675722773e-08,4.869036607225198859e-08
1.677777777778362390e+06,3.671007225540898021e-08,4.680437684716807631e-08
1.688888888889477355e+06,3.818897441663186629e-08,4.502993904370833338e-08
1.700000000000592321e+06,4.690601929350436685e-08,4.335843218877609116e-08
1.711111111111707287e+06,4.315477772494225684e-08,4.178205212667251983e-08
1.722222222222822253e+06,4.824951098550234775e-08,4.029372004804624998e-08
1.733333333333937218e+06,4.553497762224044806e-08,3.888700312250372193e-08
1.744444444445052184e+06,4.052780830078323493e-08,3.755604507476254919e-08
1.755555555556167150e+06,2.712315275854080754e-08,3.629550530656038832e-08
