freq, psd, lorentzian
0.000000000000000000e+00,1.446972655413509851e-03,4.983149612529521981e-03
5.555555555552785336e+03,5.731356788127684593e-03,5.030149334128380598e-03
1.111111111110557067e+04,4.497703960088448444e-03,5.077678595343291558e-03
1.666666666665835510e+04,1.004986180835459875e-02,5.125745378145468191e-03
2.222222222221114134e+04,1.909351095948126631e-02,5.174357815411847507e-03
2.777777777776392759e+04,9.893931654924090560e-03,5.223524194360355290e-03
3.333333333331671020e+04,1.237197400208679340e-02,5.273252960076717753e-03
3.888888888886950008e+04,1.108405182135964624e-02,5.323552719135619601e-03
4.444444444442228269e+04,1.133388713686880531e-02,5.374432243319107218e-03
4.999999999997506529e+04,1.253748967732635534e-02,5.425900473435197290e-03
5.555555555552785518e+04,6.443648241686377245e-03,5.477966523239864542e-03
6.111111111108063778e+04,1.027166478589792639e-02,5.530639683465525015e-03
6.666666666663342039e+04,1.129691333118786230e-02,5.583929425959389785e-03
7.222222222218620300e+04,8.150387155264400552e-03,5.637845407935132558e-03
7.777777777773900016e+04,8.948875116495844453e-03,5.692397476341379617e-03
8.333333333329178276e+04,6.605338610338446111e-03,5.747595672350741362e-03
8.888888888884456537e+04,6.739285680205693227e-03,5.803450235973200977e-03
9.444444444439734798e+04,1.039510070361397004e-02,5.859971610797801503e-03
9.999999999995013059e+04,1.011073719196497155e-02,5.917170448866699260e-03
1.055555555555029277e+05,5.786872532945027715e-03,5.975057615685885719e-03
1.111111111110557104e+05,5.776188144151913305e-03,6.033644195376899021e-03
1.166666666666084930e+05,6.893683428868926759e-03,6.092941495974136916e-03
1.222222222221612756e+05,7.436558801768809561e-03,6.152961054872427109e-03
1.277777777777140582e+05,1.007345601823186020e-02,6.213714644429833671e-03
1.333333333332668408e+05,1.312893750323741900e-02,6.275214277730672974e-03
1.388888888888196379e+05,8.684775944483103319e-03,6.337472214514062140e-03
1.444444444443724060e+05,8.262711219735938487e-03,6.400500967273431430e-03
1.499999999999252032e+05,8.893525644606947028e-03,6.464313307532660972e-03
1.555555555554780003e+05,6.184116022468246800e-03,6.528922272304686983e-03
1.611111111110307684e+05,9.829739913532271195e-03,6.594341170738701047e-03
1.666666666665835655e+05,1.679642081965955838e-02,6.660583590962236913e-03
1.722222222221363336e+05,1.176048293658004708e-02,6.727663407124672562e-03
1.777777777776891307e+05,1.066423372253260879e-02,6.795594786649027455e-03
1.833333333332419279e+05,1.191995506372299854e-02,6.864392197699029433e-03
1.888888888887946960e+05,1.006020722044486011e-02,6.934070416868831632e-03
1.944444444443474931e+05,1.030988994857025970e-02,7.004644537103019153e-03
1.999999999999002612e+05,1.166285749055695486e-02,7.076129975854741211e-03
2.055555555554530583e+05,9.794996578857401506e-03,7.148542483490245153e-03
2.111111111110058555e+05,1.492674372111304354e-02,7.221898151948364514e-03
2.166666666665586235e+05,1.668397146375691364e-02,7.296213423663735348e-03
2.222222222221114207e+05,1.072634320721331525e-02,7.371505100763078855e-03
2.277777777776641888e+05,5.922510292641053505e-03,7.447790354544049640e-03
