freq, psd, lorentzian
0.000000000000000000e+00,9.538986010968001630e-04,6.273813954153236068e-03
5.555555555552785336e+03,2.103727548885003969e-03,6.391402101375111451e-03
1.111111111110557067e+04,2.036220849712013035e-03,6.512836026403714430e-03
1.666666666665835510e+04,4.389414671751738772e-03,6.638285259593455952e-03
2.222222222221114134e+04,7.025144250959879273e-03,6.767928775723376471e-03
2.777777777776392759e+04,3.537191602305058986e-03,6.901955632395068152e-03
3.333333333331671020e+04,3.150796677372381688e-03,7.040565659341839304e-03
3.888888888886950008e+04,4.990918810937098292e-03,7.183970203342098827e-03
4.444444444442228269e+04,3.447482040342903908e-03,7.332392933922069096e-03
4.999999999997506529e+04,2.883218137410012080e-03,7.486070715583322682e-03
5.555555555552785518e+04,2.754922528521023314e-03,7.645254552906554507e-03
6.111111111108063778e+04,4.569295732546876584e-03,7.810210615573355032e-03
6.666666666663342039e+04,4.538678356600555491e-03,7.981221351122403870e-03
7.222222222218620300e+04,3.140492643749135965e-03,8.158586694127126226e-03
7.777777777773900016e+04,3.728510943893155460e-03,8.342625381461436437e-03
8.333333333329178276e+04,3.906414513239257931e-03,8.533676384424078096e-03
8.888888888884456537e+04,4.505114429724411604e-03,8.732100469737894000e-03
9.444444444439734798e+04,3.688906566959545327e-03,8.938281902848130636e-03
9.999999999995013059e+04,4.266261687067672212e-03,9.152630308537584511e-03
1.055555555555029277e+05,5.680716369049299518e-03,9.375582705682792076e-03
1.111111111110557104e+05,4.539107506922155852e-03,9.607605735026780724e-03
1.166666666666084930e+05,6.802601648951408370e-03,9.849198101176624351e-03
1.222222222221612756e+05,6.429955745938765836e-03,1.010089325269167282e-02
1.277777777777140582e+05,5.919498545414902078e-03,1.036326232716103420e-02
1.333333333332668408e+05,5.123847909120279875e-03,1.063691739163585316e-02
1.388888888888196379e+05,5.130665288271625719e-03,1.092251501275251328e-02
1.444444444443724060e+05,2.930940982227695814e-03,1.122076019543863552e-02
1.499999999999252032e+05,6.684925846869130793e-03,1.153241073433124673e-02
1.555555555554780003e+05,7.543456164686095956e-03,1.185828202806890261e-02
1.611111111110307684e+05,1.170240500837176761e-02,1.219925241358279892e-02
1.666666666665835655e+05,1.038983670636633126e-02,1.255626908556498923e-02
1.722222222221363336e+05,6.814756004001264536e-03,1.293035467562643655e-02
1.777777777776891307e+05,9.581730322954940676e-03,1.332261457650137440e-02
1.833333333332419279e+05,1.294297365774190606e-02,1.373424510927928784e-02
1.888888888887946960e+05,1.158440946371628970e-02,1.416654264638031284e-02
1.944444444443474931e+05,1.330402229002639915e-02,1.462091382022666711e-02
1.999999999999002612e+05,1.354260277411713405e-02,1.509888696777835111e-02
2.055555555554530583e+05,7.399710993977943671e-03,1.560212498487122991e-02
2.111111111110058555e+05,1.086385933002485815e-02,1.613243979231969785e-02
2.166666666665586235e+05,1.136714055883337321e-02,1.669180864887610805e-02
2.222222222221114207e+05,1.329874211480234179e-02,1.728239258541783285e-02
2.277777777776641888e+05,1.837890301380300240e-02,1.790655728143841427e-02
2.333333333332169859e+05,2.744189722871489059e-02,1.856689676062462518e-02
2.388888888887697831e+05,2.309269162624457208e-02,1.926626034895296408e-02
2.444444444443225511e+05,1.767344654400022225e-02,2.000778341874688906e-02
2.499999999998753483e+05,1.987571737925917723e-02,2.079492253850469263e-02
2.555555555554281163e+05,4.116753849115432906e-02,2.163149576479195951e-02
2.611111111109809135e+05,4.732513528029677619e-02,2.252172895380664258e-02
2.666666666665336816e+05,3.615500973707603399e-02,2.347030914231462012e-02
2.722222222220865078e+05,2.934495307989358481e-02,2.448244625805300057e-02
2.777777777776392759e+05,4.682743786906729683e-02,2.556394467799427694e-02
2.833333333331920439e+05,4.923998382010071756e-02,2.672128647132549634e-02
2.888888888887448120e+05,4.983265275812379103e-02,2.796172855839313895e-02
