freq, psd, lorentzian
0.000000000000000000e+00,5.367253674468109087e-06,1.439886719175255294e-04
5.555555555552785336e+03,8.251597782966301657e-06,1.447435255002100444e-04
1.111111111110557067e+04,8.010603420579580735e-06,1.455096328807679938e-04
1.666666666665835510e+04,1.301365281168969027e-05,1.462872188216950749e-04
2.222222222221114134e+04,1.876058762340465061e-05,1.470765137233848760e-04
2.777777777776392759e+04,1.998152393021380659e-05,1.478777537946424894e-04
3.333333333331671020e+04,2.826700374091872683e-05,1.486911812292435295e-04
3.888888888886950008e+04,2.931398538811768250e-05,1.495170443887850452e-04
4.444444444442228269e+04,2.253063875070339148e-05,1.503555979920851771e-04
4.999999999997506529e+04,2.559748704446846527e-05,1.512071033114008745e-04
5.555555555552785518e+04,2.024346598595571319e-05,1.520718283757467831e-04
6.111111111108063778e+04,2.159656473850989417e-05,1.529500481816083656e-04
6.666666666663342039e+04,2.445944555297845099e-05,1.538420449113600671e-04
7.222222222218620300e+04,1.770440161329783974e-05,1.547481081597109676e-04
7.777777777773900016e+04,1.560472002967799269e-05,1.556685351685172230e-04
8.333333333329178276e+04,1.380939000752084240e-05,1.566036310703158819e-04
8.888888888884456537e+04,1.802719057996611708e-05,1.575537091409534790e-04
9.444444444439734798e+04,2.096336676512098208e-05,1.585190910616972228e-04
9.999999999995013059e+04,2.240452317368145797e-05,1.595001071912400972e-04
1.055555555555029277e+05,2.091359844682382557e-05,1.604970968480270803e-04
1.111111111110557104e+05,1.656845703485182933e-05,1.615104086033535349e-04
1.166666666666084930e+05,2.597425873362845078e-05,1.625404005857068843e-04
1.222222222221612756e+05,2.347661295018769700e-05,1.635874407968478930e-04
1.277777777777140582e+05,3.852810690410429697e-05,1.646519074401516728e-04
1.333333333332668408e+05,4.586270104177744025e-05,1.657341892617537394e-04
1.388888888888196379e+05,2.160901898607660244e-05,1.668346859050764790e-04
1.444444444443724060e+05,2.625156311961596668e-05,1.679538082793375676e-04
1.499999999999252032e+05,3.955239516834116155e-05,1.690919789426744389e-04
1.555555555554780003e+05,2.327252534603777321e-05,1.702496325005511501e-04
1.611111111110307684e+05,2.625543064765599241e-05,1.714272160201477709e-04
1.666666666665835655e+05,3.747106573054425195e-05,1.726251894614685490e-04
1.722222222221363336e+05,2.912078688192485250e-05,1.738440261259450331e-04
1.777777777776891307e+05,3.569250465182814843e-05,1.750842131233490396e-04
1.833333333332419279e+05,4.393229474011795134e-05,1.763462518578748014e-04
1.888888888887946960e+05,3.738476478535342066e-05,1.776306585342937922e-04
1.944444444443474931e+05,4.038309031488820710e-05,1.789379646851367567e-04
1.999999999999002612e+05,4.945387276898484565e-05,1.802687177199038837e-04
2.055555555554530583e+05,4.037816356736741960e-05,1.816234814973642837e-04
2.111111111110058555e+05,5.536004335047862795e-05,1.830028369220575428e-04
2.166666666665586235e+05,5.396324623336312448e-05,1.844073825661753378e-04
2.222222222221114207e+05,5.396344071388101642e-05,1.858377353180643617e-04
2.277777777776641888e+05,6.647660629250772696e-05,1.872945310586589208e-04
2.333333333332169859e+05,8.313387872254735444e-05,1.887784253672280816e-04
2.388888888887697831e+05,9.910108329545131843e-05,1.902900942578954029e-04
2.444444444443225511e+05,1.161738635027933039e-04,1.918302349484756440e-04
2.499999999998753483e+05,9.193165785800846317e-05,1.933995666632574648e-04
2.555555555554281163e+05,1.468924349985467886e-04,1.949988314714549390e-04
2.611111111109809135e+05,1.199368478385613729e-04,1.966287951631509427e-04
2.666666666665336816e+05,1.282562124493593877e-04,1.982902481646590703e-04
2.722222222220865078e+05,1.478464756239007043e-04,1.999840064953434357e-04
2.777777777776392759e+05,1.459651856566769785e-04,2.017109127680559270e-04
2.833333333331920439e+05,1.544180215920335246e-04,2.034718372354768468e-04
2.888888888887448120e+05,1.546009664329166212e-04,2.052676788847802858e-04
2.944444444442976383e+05,1.359148407398880003e-04,2.070993665831917302e-04
2.999999999998504063e+05,1.573111350413423243e-04,2.089678602771575145e-04
3.055555555554031744e+05,2.102854072416437243e-04,2.108741522480125376e-04
3.111111111109560006e+05,3.075233905121068398e-04,2.128192684272065113e-04
3.166666666665087687e+05,2.933520564437545430e-04,2.148042697743389614e-04
3.222222222220615367e+05,3.507388256531869487e-04,2.168302537214509087e-04
3.277777777776143630e+05,4.027487660223921383e-04,2.188983556872391330e-04
3.333333333331671311e+05,3.918446923498381841e-04,2.210097506650860106e-04
3.388888888887198991e+05,3.978980643474019636e-04,2.231656548890428924e-04
3.444444444442726672e+05,2.084825139709681760e-04,2.253673275821709964e-04
3.499999999998254934e+05,2.007530252814497247e-04,2.276160727919213458e-04
3.555555555553782615e+05,2.521500359538579768e-04,2.299132413175398906e-04
3.611111111109310295e+05,3.001874121612093955e-04,2.322602327348054154e-04
3.666666666664838558e+05,4.108012635137721358e-04,2.346584975237559195e-04
3.722222222220366239e+05,2.964109878372134937e-04,2.371095393054295205e-04
3.777777777775893919e+05,2.358648854022157002e-04,2.396149171940484398e-04
3.833333333331421600e+05,2.861111356676785604e-04,2.421762482715001806e-04
3.888888888886949862e+05,3.554474397818541088e-04,2.447952101914333402e-04
3.944444444442477543e+05,2.042725436852483776e-04,2.474735439207816860e-04
3.999999999998005223e+05,2.451702184471783274e-04,2.502130566270626831e-04
4.055555555553533486e+05,3.084883314107409098e-04,2.530156247203704757e-04
4.111111111109061167e+05,3.298352180960207377e-04,2.558831970596025661e-04
4.166666666664588847e+05,4.453809838588239410e-04,2.588177983331276855e-04
4.222222222220117110e+05,4.399628463905662628e-04,2.618215326248166737e-04
4.277777777775644790e+05,5.547540664891472718e-04,2.648965871771360482e-04
4.333333333331172471e+05,1.107311407749654499e-03,2.680452363638431701e-04
4.388888888886700151e+05,1.503917522472670394e-03,2.712698458857191975e-04
4.444444444442228414e+05,1.189054100520439781e-03,2.745728772037582532e-04
4.499999999997756095e+05,1.084866293998423565e-03,2.779568922252857255e-04
4.555555555553283775e+05,1.370003454161337940e-03,2.814245582596207221e-04
4.611111111108812038e+05,1.947894038425768571e-03,2.849786532611335230e-04
4.666666666664339718e+05,2.867971416766408252e-03,2.886220713788945373e-04
4.722222222219867399e+05,2.492109493256660074e-03,2.923578288335561834e-04
4.777777777775395662e+05,2.659981499047467043e-03,2.961890701436933502e-04
4.833333333330923342e+05,4.330618700242185037e-03,3.001190747255323525e-04
4.888888888886451023e+05,6.386594836870588231e-03,3.041512638918611173e-04
4.944444444441978703e+05,7.077383947452297631e-03,3.082892082779311455e-04
4.999999999997506966e+05,5.017495734320882167e-03,3.125366357243586574e-04
5.055555555553034646e+05,1.063935967903320221e-02,3.168974396494259266e-04
5.111111111108562327e+05,2.278499235764105610e-02,3.213756879457852910e-04
5.166666666664090590e+05,2.484816211326466504e-02,3.259756324394118710e-04
5.222222222219618270e+05,4.322790515538439682e-02,3.307017189517456076e-04
5.277777777775146533e+05,4.047412124957312091e-02,3.355585980093457252e-04
5.333333333330673631e+05,1.493936815911952806e-02,3.405511362490756875e-04
5.388888888886201894e+05,6.526247398125805538e-03,3.456844285708771569e-04
5.444444444441730157e+05,7.258488638930261569e-03,3.509638110946077449e-04
5.499999999997257255e+05,5.153807612586369484e-03,3.563948749822644347e-04
5.555555555552785518e+05,6.755854113399768247e-03,3.619834811922158680e-04
5.611111111108312616e+05,3.308472083350911044e-03,3.677357762378872835e-04
5.666666666663840879e+05,1.902215366235816699e-03,3.736582090297372780e-04
5.722222222219369141e+05,2.423566035419137503e-03,3.797575488863792086e-04
5.777777777774896240e+05,2.743136558922922019e-03,3.860409048084332932e-04
5.833333333330424502e+05,2.152391196953850824e-03,3.925157461171901855e-04
5.888888888885952765e+05,1.113747502679791456e-03,3.991899245695377271e-04
5.944444444441479864e+05,1.408307481527386459e-03,4.060716980709370288e-04
5.999999999997008126e+05,1.472460408681532064e-03,4.131697561196364808e-04
6.055555555552536389e+05,1.029236706717172193e-03,4.204932471279202062e-04
6.111111111108063487e+05,5.708176878899475252e-04,4.280518077801260309e-04
6.166666666663591750e+05,5.063853233528608014e-04,4.358555946026119597e-04
6.222222222219120013e+05,6.251445997259115137e-04,4.439153179379492099e-04
6.277777777774647111e+05,6.938328661253239348e-04,4.522422785346224476e-04
6.333333333330175374e+05,4.397118020599672891e-04,4.608484069845900479e-04
6.388888888885703636e+05,4.688524489140520526e-04,4.697463062645195484e-04
6.444444444441230735e+05,4.495625270185749697e-04,4.789492976626144442e-04
6.499999999996758997e+05,2.310862098958247637e-04,4.884714704020479137e-04
6.555555555552287260e+05,2.252304746435911781e-04,4.983277353044802960e-04
6.611111111107814359e+05,1.993581068889143976e-04,5.085338828734131894e-04
6.666666666663342621e+05,2.353337246240794407e-04,5.191066462177016099e-04
6.722222222218869720e+05,2.091984211602077948e-04,5.300637692809716034e-04
6.777777777774397982e+05,3.457103142054930535e-04,5.414240808936542819e-04
6.833333333329926245e+05,4.865585400544425172e-04,5.532075752215400008e-04
6.888888888885453343e+05,3.742056182506515874e-04,5.654354992490825960e-04
6.944444444440981606e+05,4.071447254811505403e-04,5.781304480080951902e-04
6.999999999996509869e+05,1.927686373302020767e-04,5.913164683441179785e-04
7.055555555552036967e+05,1.458370242790298294e-04,6.050191721049216114e-04
7.111111111107565230e+05,1.966475353222214633e-04,6.192658597398297037e-04
7.166666666663093492e+05,3.753671526399020059e-04,6.340856554165673169e-04
7.222222222218620591e+05,4.549216902901487215e-04,6.495096548962039354e-04
7.277777777774148853e+05,1.378056286918327104e-04,6.655710875588039584e-04
7.333333333329677116e+05,1.246101384046858932e-04,6.823054941453844625e-04
7.388888888885204215e+05,1.092272438513302175e-04,6.997509219789470325e-04
7.444444444440732477e+05,1.300078649704169780e-04,7.179481396523922348e-04
7.499999999996260740e+05,2.709688250932340906e-04,7.369408734284894208e-04
7.555555555551787838e+05,3.717266332825736367e-04,7.567760678919215967e-04
7.611111111107316101e+05,2.613675081811000448e-04,7.775041737317771621e-04
7.666666666662843199e+05,2.669122885853433477e-04,7.991794659219397150e-04
7.722222222218371462e+05,2.432035445450675892e-04,8.218603960150603661e-04
7.777777777773899725e+05,1.540869265067647568e-04,8.456099827831809954e-04
7.833333333329426823e+05,1.162380813026659012e-04,8.704962460365646111e-04
7.888888888884955086e+05,1.256097413244447794e-04,8.965926891459489491e-04
7.944444444440483348e+05,2.147505704244770104e-04,9.239788365992098254e-04
7.999999999996010447e+05,1.721514585066836556e-04,9.527408338614547006e-04
8.055555555551538710e+05,7.201309619252659001e-05,9.829721179020541478e-04
8.111111111107066972e+05,4.127477260805698382e-05,1.014774168032140040e-03
8.166666666662594071e+05,2.021460141185560885e-05,1.048257348196756722e-03
8.222222222218122333e+05,2.259433062765515464e-05,1.083541853629448959e-03
8.277777777773650596e+05,3.745899862665785394e-05,1.120758776855043963e-03
8.333333333329177694e+05,3.534844634928777915e-05,1.160051310481224549e-03
8.388888888884705957e+05,1.604887568659147282e-05,1.201576107127327398e-03
8.444444444440234220e+05,2.029018545132460927e-05,1.245504820292957400e-03
8.499999999995761318e+05,4.632366270661270724e-05,1.292025854083933599e-03
8.555555555551289581e+05,4.746379832053728332e-05,1.341346354629727698e-03
8.611111111106817843e+05,6.202732730809728623e-05,1.393694481919228057e-03
8.666666666662344942e+05,1.206537014047515658e-04,1.449322007866534964e-03
8.722222222217873204e+05,1.293267261701206729e-04,1.508507294964598830e-03
8.777777777773400303e+05,1.237306241237777341e-04,1.571558720228212816e-03
8.833333333328928566e+05,3.106180789884864057e-04,1.638818621691065600e-03
8.888888888884456828e+05,5.089376139868384726e-04,1.710667860035548120e-03
8.944444444439983927e+05,4.538952288115534754e-04,1.787531106671129150e-03
8.999999999995512189e+05,5.152844616426544098e-04,1.869882992590855006e-03
9.055555555551040452e+05,3.846808186778857743e-04,1.958255280715268196e-03
9.111111111106567550e+05,4.104264472415517667e-04,2.053245259574563216e-03
9.166666666662095813e+05,8.655349031538291191e-04,2.155525599880148743e-03
9.222222222217624076e+05,1.587232356814978658e-03,2.265855970120933451e-03
9.277777777773151174e+05,1.262260311297318076e-03,2.385096775809982840e-03
9.333333333328679437e+05,1.082280754023856725e-03,2.514225473352302374e-03
9.388888888884207699e+05,1.477831002970385853e-03,2.654356018890248817e-03
9.444444444439734798e+05,1.047308727154504411e-03,2.806762151755412462e-03
9.499999999995263061e+05,1.148413813898225546e-03,2.972905390400143281e-03
9.555555555550791323e+05,2.566786630524541587e-03,3.154468848021669495e-03
9.611111111106318422e+05,2.956419899172264051e-03,3.353398271791231938e-03
9.666666666661846684e+05,3.223328665047989032e-03,3.571952095596905158e-03
9.722222222217373783e+05,3.870712796006927151e-03,3.812762801248897448e-03
9.777777777772902045e+05,4.232681025667015678e-03,4.078912547724274432e-03
9.833333333328430308e+05,3.859670621061182458e-03,4.374026907771295242e-03
9.888888888883957407e+05,4.633517820010053107e-03,4.702391722432114340e-03
9.944444444439485669e+05,5.484665222956579961e-03,5.069099652214801785e-03
9.999999999995013932e+05,3.757849044189503791e-03,5.480235114664539116e-03
1.005555555555054103e+06,4.023014095205233558e-03,5.943109154016168981e-03
1.011111111110606929e+06,6.379697836961822910e-03,6.466559668745660606e-03
1.016666666666159756e+06,8.512228977490087292e-03,7.061337710850155644e-03
1.022222222221712465e+06,9.846423740556636828e-03,7.740607786859202838e-03
1.027777777777265292e+06,7.240221612913044780e-03,8.520599923107082321e-03
1.033333333332818118e+06,1.290803528081269254e-02,9.421464574425282568e-03
1.038888888888370828e+06,1.396146319000104129e-02,1.046839924589191943e-02
1.044444444443923654e+06,1.343648447130912568e-02,1.169313882474010829e-02
1.049999999999476364e+06,2.492050649165367116e-02,1.313593009217996904e-02
1.055555555555029307e+06,1.947160721353498672e-02,1.484814197939608033e-02
1.061111111110582016e+06,2.000973913025793846e-02,1.689568684690570186e-02
1.066666666666134726e+06,1.479673691364660759e-02,1.936341650778789641e-02
1.072222222221687669e+06,2.007173510777231565e-02,2.236054005104019110e-02
1.077777777777240379e+06,2.780225840190529360e-02,2.602672443728963961e-02
